@RELATION winner
@ATTRIBUTE c1 NUMERIC
@ATTRIBUTE c101 NUMERIC
@ATTRIBUTE c2 NUMERIC
@ATTRIBUTE c102 NUMERIC
@ATTRIBUTE class {1,2}
@DATA
1.123,1.0,4.273,1.0,1
1.286,1.440000057220459,3.021,-5.85699987411499,1
1.496,1.0,2.352,1.0,1
1.373,1.0,2.676,1.0,1
1.312,1.0,2.903,1.0,1
2.598,0.8919999599456787,1.398,1.0,2
1.113,1.0,4.405,1.0,1
1.295,1.0,2.978,2.174999952316284,2
2.057,1.0,1.674,1.0,2
1.162,1.0,3.85,1.0,1
1.368,1.0,2.694,1.0,2
3.673,1.0,1.182,1.0,2
1.051,0.0,5.5,0.0,1
1.618,1.1230000257492065,2.134,-0.10799998044967651,2
1.296,1.496000051498413,2.974,0.0,1
1.051,0.0,5.504,0.0,2
1.261,1.1829999685287476,3.146,1.0,1
1.351,1.2009999752044678,2.75,1.312000036239624,1
1.324,1.5460000038146973,2.855,1.8040000200271606,2
1.61,2.549999952316284,2.147,1.6009999513626099,1
1.38,0.5460000038146973,2.654,-1.0,1
1.099,1.3730000257492065,4.593,1.3980000019073486,1
2.041,-0.24899999797344208,4.2,-1.9079999923706055,1
1.01,1.1130000352859497,7.5,0.0,1
1.304,0.0,2.937,1.6740000247955322,1
3.68,0.0,1.181,1.1619999408721924,2
2.128,0.0,1.622,2.694000005722046,2
1.351,1.1820000410079956,2.75,0.0,1
1.708,0.0,2.014,4.1529998779296875,1
1.523,1.0,2.297,0.0,1
2.172,0.7910000085830688,3.5,1.0,1
1.037,0.050999999046325684,5.85,-1.0,1
1.317,-1.0,2.881,0.12300000339746475,1
1.088,0.39800000190734863,4.771,4.504000186920166,1
1.167,1.472000002861023,3.804,1.0260000228881836,2
1.317,1.7920000553131104,2.88,0.31200000643730164,1
1.167,1.0,3.798,1.0,1
1.335,1.0,2.809,1.0,1
1.413,0.4869999885559082,2.554,3.4539999961853027,2
1.525,-0.8220000267028809,2.294,-0.8539999723434448,1
1.032,1.7890000343322754,6.0,-2.0,1
1.525,2.9240000247955322,2.294,0.44600000977516174,1
1.513,6.213000297546387,2.317,2.2170000076293945,1
1.354,1.0,2.742,1.0,1
1.051,-4.0,5.509,-2.0,1
1.146,1.8209999799728394,4.007,-1.8539999723434448,1
1.166,5.007999897003174,3.807,-3.0,1
1.635,-0.5130000114440918,2.11,-0.29700005054473877,1
1.295,3.4489998817443848,2.977,6.7260003089904785,1
1.359,1.0,2.724,1.0,2
1.4,-3.9489998817443848,2.594,-0.5540000200271606,1
1.44,1.2170000076293945,2.483,-3.0,2
1.539,1.0,2.267,0.5709999799728394,1
1.566,1.0,2.218,1.0,1
1.286,1.3539999723434448,3.018,0.0,1
1.622,0.0,2.128,1.0,1
1.256,3.1690001487731934,3.169,2.7239999771118164,1
1.446,-0.42899999022483826,2.468,0.0,1
1.214,1.565999984741211,3.426,1.0,1
1.256,1.5390000343322754,3.172,1.0,1
1.245,3.4250001907348633,3.235,-1.0,1
1.357,0.621999979019165,2.73,1.7239999771118164,1
1.305,1.6399999856948853,2.934,0.0,1
1.049,2.433000087738037,5.55,-1.0,1
1.291,1.6359999179840088,2.995,1.694000005722046,1
1.351,-1.0,2.75,-1.0,1
2.255,1.319000005722046,1.545,4.169999599456787,2
1.37,0.3789999485015869,2.685,1.0179998874664307,1
1.664,3.7079999446868896,2.069,-1.0,2
1.383,0.7489999532699585,2.643,2.7079999446868896,1
2.637,0.3190000057220459,1.385,0.018000006675720215,2
1.7,4.714999675750732,2.024,0.0690000057220459,1
1.305,2.4820001125335693,2.934,1.9269999265670776,1
1.631,0.6940000057220459,2.115,-0.6490000486373901,2
2.499,-2.0,1.434,-2.0,2
1.207,1.1319999694824219,3.475,-0.6809999942779541,1
1.915,1.7079999446868896,1.8,5.414999961853027,2
1.455,0.40299999713897705,2.446,-0.9309999942779541,1
1.177,2.7869999408721924,3.709,-0.3060000240802765,1
1.612,0.4660000801086426,2.143,-1.565999984741211,2
1.123,0.9270000457763672,4.275,-3.0,1
1.473,1.0,2.404,-1.0,1
1.439,0.0,2.485,0.011999964714050293,1
1.89,1.0,1.826,-2.0,1
1.69,-1.2769999504089355,2.036,-2.937999963760376,1
1.49,1.0,2.366,-1.0,2
1.378,1.0,2.661,1.0,1
1.53,1.0,2.284,1.0,2
1.301,1.1480000019073486,2.952,3.4600000381469727,1
1.299,0.30400002002716064,2.957,0.7079999446868896,2
1.292,-1.0,2.992,-1.0,1
1.04,1.1230000257492065,5.772,-1.0,1
1.246,1.3429999351501465,3.23,1.5329999923706055,1
2.418,-1.0,1.466,3.1529998779296875,2
1.441,1.0,2.479,-1.0,2
1.388,0.35899999737739563,2.629,0.5789999961853027,1
1.866,3.315999984741211,1.853,0.6740000247955322,1
2.125,1.9529998302459717,3.75,1.0,2
1.02,1.0,6.366,3.504000186920166,1
1.49,0.48600006103515625,2.366,1.0,2
1.032,2.1089999675750732,6.0,-1.0,1
1.384,-0.6880000233650208,2.64,-2.0,1
1.491,-0.6829999685287476,2.363,3.8299999237060547,2
1.371,0.08799993991851807,2.683,1.5519999265670776,1
1.212,2.36299991607666,3.44,2.2839999198913574,1
1.464,2.4600000381469727,2.425,-3.0,1
1.152,1.4490000009536743,3.944,0.0,1
1.255,-0.6959999799728394,3.175,4.182000160217285,2
1.047,1.0199999809265137,5.592,-0.8769999742507935,1
1.431,-1.6829999685287476,2.507,-0.5139999985694885,2
1.095,0.7470000386238098,4.655,1.0,1
1.075,5.192999839782715,5.0,2.503999948501587,1
3.659,-2.0,1.183,2.6649999618530273,2
1.532,3.61899995803833,2.28,-0.32600000500679016,2
1.328,1.0,2.839,0.0,2
1.106,0.0,4.503,0.0,1
1.37,-0.42100000381469727,2.685,0.4790000915527344,2
1.789,0.5329999923706055,1.926,-0.7079999446868896,2
1.193,0.45899999141693115,3.583,-0.30400004982948303,2
3.009,-2.0,1.288,-2.0,2
1.29,2.1410000324249268,3.001,0.5519999861717224,2
1.221,1.1629999876022339,3.383,1.5889999866485596,2
1.19,1.6009999513626099,3.606,-4.0,1
1.492,-3.0,2.361,-2.0,2
2.158,6.35699987411499,1.603,2.61899995803833,2
1.223,2.5749998092651367,3.371,-1.0,2
1.369,0.0,2.689,-1.0,1
1.259,2.9240000247955322,3.158,1.284000039100647,1
1.142,-1.6959999799728394,4.047,1.0,2
1.53,0.21799993515014648,2.283,-1.7120000123977661,2
1.364,2.8479998111724854,2.708,0.9539999961853027,1
1.082,0.16300000250339508,4.876,-0.46699997782707214,1
1.044,3.9719998836517334,5.682,-3.0,1
1.304,0.44200003147125244,2.935,0.6010000109672546,2
1.17,-0.5069999694824219,3.772,-2.0,1
1.338,-0.5579999685287476,2.8,-2.389000177383423,1
1.601,1.5230000019073486,2.161,1.8389999866485596,1
1.591,0.3139999508857727,2.176,1.0260000228881836,2
1.382,1.9320001602172852,2.646,1.0,1
1.424,1.0,2.526,1.5209999084472656,1
1.161,-1.1859999895095825,3.859,1.0,1
1.269,4.695000171661377,3.103,0.0,1
2.069,0.016999980434775352,1.664,1.7799999713897705,1
1.376,1.1200000047683716,2.668,-2.0,2
1.36,0.0,2.719,3.6700000762939453,1
2.068,-5.631999969482422,1.665,1.0,2
1.19,4.964000225067139,3.604,3.618000030517578,1
1.493,3.315999984741211,2.359,0.7800000309944153,2
1.198,1.0860000848770142,3.541,-1.0,1
2.292,-6.631999969482422,1.526,-0.3320000171661377,1
1.125,0.36000001430511475,4.25,1.6649999618530273,1
1.535,2.6700000762939453,2.274,0.11999999731779099,2
1.12,1.284000039100647,4.31,2.618000030517578,1
1.186,2.1389999389648438,3.642,-2.0,1
1.403,2.315999746322632,2.585,5.154000282287598,2
1.295,1.2970000505447388,2.975,-1.0,1
1.775,1.4730000495910645,1.94,1.7170000076293945,1
1.251,0.4390000104904175,3.202,-2.0,2
1.373,-3.450000047683716,2.675,1.6370000839233398,1
1.153,0.49900007247924805,3.94,0.0,1
1.22,2.1640000343322754,3.391,0.0,1
1.895,-1.4210000038146973,1.821,0.10599994659423828,2
1.433,2.750999689102173,2.502,0.0,2
1.085,3.75,4.815,1.0,1
2.459,-5.0,1.449,0.2840000092983246,2
1.447,3.183000087738037,2.466,1.371000051498413,1
1.607,-0.025000007823109627,2.151,1.0,1
1.265,1.750999927520752,3.124,2.5920000076293945,1
1.401,1.0,2.59,1.0,1
1.313,-0.8370000123977661,2.898,2.202000141143799,1
1.213,-0.45899999141693115,3.436,2.313999891281128,1
1.147,0.4270000457763672,4.0,3.8350000381469727,1
1.318,1.0,2.876,1.4240000247955322,1
